company_name,ticker,index
NVIDIA CORPORATION,NVDA,MSCI World
APPLE INC.,AAPL,MSCI World
ALPHABET INC.,GOOG,MSCI World
MICROSOFT CORPORATION,MSFT,MSCI World
"AMAZON.COM, INC.",AMZN,MSCI World
"META PLATFORMS, INC.",META,MSCI World
BROADCOM INC.,AVGO,MSCI World
WALMART INC.,WMT,MSCI World
ELI LILLY AND COMPANY,LLY,MSCI World
JPMORGAN CHASE & CO.,JPM,MSCI World
JOHNSON & JOHNSON,JNJ,MSCI World
"MASTERCARD, INC.",MA,MSCI World
COSTCO WHOLESALE CORPORATION,COST,MSCI World
"MICRON TECHNOLOGY, INC.",MU,MSCI World
BANK OF AMERICA CORPORATION,BAC,MSCI World
ABBVIE INC.,ABBV,MSCI World
"THE HOME DEPOT, INC.",HD,MSCI World
ROCHE HOLDING AG,ROG.SW,MSCI World
AMD (ADVANCED MICRO DEVICES),AMD,MSCI World
CATERPILLAR INC.,CAT,MSCI World
"NETFLIX, INC.",NFLX,MSCI World
"CISCO SYSTEMS, INC.",CSCO,MSCI World
PALANTIR TECHNOLOGIES INC.,PLTR,MSCI World
THE COCA-COLA COMPANY,KO,MSCI World
GE AEROSPACE,GE,MSCI World
LVMH,MC.PA,MSCI World
TOYOTA MOTOR CORPORATION,TM,MSCI World
HSBC HOLDINGS PLC,HSBC,MSCI World
NOVARTIS AG,NVS,MSCI World
"THE GOLDMAN SACHS GROUP, INC.",GS,MSCI World
ASTRAZENECA PLC,AZN,MSCI World
WELLS FARGO & COMPANY,WFC,MSCI World
"MERCK & CO., INC.",MRK,MSCI World
MORGAN STANLEY,MS,MSCI World
LAM RESEARCH CORPORATION,LRCX,MSCI World
"PHILIP MORRIS INTERNATIONAL, INC.",PM,MSCI World
IBM,IBM,MSCI World
RTX CORPORATION,RTX,MSCI World
"APPLIED MATERIALS, INC.",AMAT,MSCI World
HERMÈS INTERNATIONAL,HESAF,MSCI World
INTEL CORPORATION,INTC,MSCI World
AMERICAN EXPRESS COMPANY,AXP,MSCI World
L'ORÉAL,OR.PA,MSCI World
ROYAL BANK OF CANADA,RY,MSCI World
SIEMENS AG,SIE.DE,MSCI World
MCDONALD'S CORPORATION,MCD,MSCI World
"PEPSICO, INC.",PEP,MSCI World
"T-MOBILE US, INC.",TMUS,MSCI World
NOVO NORDISK A/S,NVO,MSCI World
SHELL PLC,SHEL,MSCI World
CITIGROUP INC.,C,MSCI World
GE VERNOVA INC.,GEV,MSCI World
"MITSUBISHI UFJ FINANCIAL GROUP, INC.",MUFG,MSCI World
INDITEX,IXD1.DE,MSCI World
AMGEN INC.,AMGN,MSCI World
