Country,Ticker,Name
Peru,EPU,Peru ETF
Colombia,COLO,Colombia ETF
Chile,ECH,Chile ETF
Mexico,EWW,Mexico ETF
Brazil,EWZ,Brazil ETF
Canada,EWC,Canada ETF
United States,SPY,U.S. Equity ETF
Argentina,ARGT,Argentina ETF
Spain,EWP,Spain ETF
Greece,GREK,Greece ETF
Poland,EPOL,Poland ETF
Austria,EWO,Austria ETF
Italy,EWI,Italy ETF
Finland,EFNL,Finland ETF
Belgium,EWK,Belgium ETF
Sweden,EWD,Sweden ETF
Germany,EWG,Germany ETF
Netherlands,EWN,Netherlands ETF
United Kingdom,EWU,U.K. ETF
Switzerland,EWL,Switzerland ETF
Norway,ENOR,Norway ETF
Ireland,EIRL,Ireland ETF
France,EWQ,France ETF
Denmark,EDEN,Denmark ETF
South Korea,EWY,South Korea ETF
Vietnam,VNM,Vietnam ETF
Hong Kong,EWH,Hong Kong ETF
China,GXC,China ETF
Singapore,EWS,Singapore ETF
Japan,EWJ,Japan ETF
Taiwan,EWT,Taiwan ETF
Australia,EWA,Australia ETF
Indonesia,EIDO,Indonesia ETF
New Zealand,ENZL,New Zealand ETF
India,INDA,India ETF
Thailand,THD,Thailand ETF
South Africa,EZA,South Africa ETF
Israel,EIS,Israel ETF
United Arab Emirates,UAE,UAE ETF
Qatar,QAT,Qatar ETF
Turkey,TUR,Turkey ETF
Saudi Arabia,KSA,Saudi Arabia ETF
Kuwait,KWT,Kuwait ETF
