Industry,Ticker,Name
Energy (Equity),XLE,Energy Select Sector SPDR Fund
Materials,XLB,Materials Select Sector SPDR Fund
Metals & Mining (Equity),XME,SPDR S&P Metals & Mining ETF
Aerospace & Defense,ITA,iShares U.S. Aerospace & Defense ETF
Construction & Engineering,ITB,iShares U.S. Home Construction ETF
Electrical Equipment,AIRR,First Trust RBA American Industrial Renaissance
Industrial Conglomerates,XLI,Industrial Select Sector SPDR Fund
Machinery,IYJ,iShares U.S. Industrials ETF
Trading Companies & Distributors,XLI,Industrial Select Sector SPDR Fund
Transportation,IYT,iShares U.S. Transportation ETF
Automobiles & Components,CARZ,First Trust Nasdaq Global Auto Index
Consumer Durables & Apparel,XHB,SPDR S&P Homebuilders ETF
Consumer Services,PEJ,Invesco Leisure and Entertainment ETF
Retailing,XRT,SPDR S&P Retail ETF
"Food, Beverage & Tobacco",PBJ,Invesco Food & Beverage ETF
Household & Personal Products,XLP,Consumer Staples Select Sector SPDR
Health Care Equipment & Services,XHE,SPDR S&P Health Care Equipment ETF
"Pharmaceuticals, Biotech & Life Sciences",XBI,SPDR S&P Biotech ETF
Banks,KBE,SPDR S&P Bank ETF
Financial Services,KCE,SPDR S&P Capital Markets ETF
Insurance,KIE,SPDR S&P Insurance ETF
Software & Services,IGV,iShares Expanded Tech-Software Sector
Semiconductors & Equipment,SOXX,iShares Semiconductor ETF
Telecommunication Services,IYZ,iShares U.S. Telecommunications ETF
Media & Entertainment,XLC,Communication Services Select Sector
Gold (Physical),GLD,SPDR Gold Shares
Silver (Physical),SLV,iShares Silver Trust
Platinum (Physical),PPLT,abrdn Physical Platinum Shares ETF
Palladium (Physical),PALL,abrdn Physical Palladium Shares ETF
Crude Oil (WTI),USO,United States Oil Fund LP
Brent Crude,BNO,United States Brent Oil Fund LP
Natural Gas,UNG,United States Natural Gas Fund LP
Copper,CPER,United States Copper Index Fund
Industrial Metals (Broad),DBB,Invesco DB Base Metals Fund
Broad Agriculture,DBA,Invesco DB Agriculture Fund
Corn,CORN,Teucrium Corn Fund
Wheat,WEAT,Teucrium Wheat Fund
Soybeans,SOYB,Teucrium Soybean Fund
Sugar,CANE,Teucrium Sugar Fund
Coffee,JO,iPath Series B Bloomberg Coffee ETN
Broad Commodities,GSG,iShares S&P GSCI Commodity-Indexed Trust
